id,name,description,meal_category,meal_parent_category
561715,Pizza Capricciosa,"mit Schinken, Paprika, frischen Champignons, Zwiebeln und Oliven",Pizza Capricciosa,Pizza
639338,Gnocchi Gorgonzola,mit Gorgonzola,Gnocchi Gorgonzola,Pasta
108781,Pizza Vier Jahreszeiten vegetarisch,"mit Champignons, Zwiebeln, Paprika und Peperoni",Pizza Vier Jahreszeiten,Pizza
429411,Pizza Vier Jahreszeiten,"mit Artischocken, Paprika, Spargel, Pilzen, Käse und Tomatensauce",Pizza Vier Jahreszeiten,Pizza
170425,Pizza Frutti di Mare,"mit Paprika, Thunfisch, Meerefrüchte, Tomatensauce und Käse",Pizza Frutti di Mare,Pizza
116965,Pizza Quattro Formaggi,"mit Gorgonzola, Mozzarella, Gouda und Parmesan",Pizza Quattro Formaggi,Pizza
354747,Pizza Vegetaria,"mit Broccoli, Mais, Champignons, Zwiebeln und Artischocken",Pizza Vegetaria,Pizza
718623,Pizza Quattro Stagioni,"mit Formfleischvorderschinken, Champignons, Spinat und Artischocken",Pizza Quattro Stagioni,Pizza
30856,Montagsangebot: Pizza Sophia Loren,mit Salami und frischen Champignons,Pizza Sophia Loren,Pizza
391393,Pizza Cipolla,mit Zwiebeln,Pizza Cipolla,Pizza
310366,Pizza Alaska,"mit Lachs, Spinat und Zwiebeln",Pizza Alaska,Pizza
575249,Pizza Spinaci,"mit Tomaten, Mozzarella und frischem Spinat",Pizza Spinaci,Pizza
467437,Pizza Mozzarella,"mit frischen Tomaten, Peperoni, Oliven und Mozzarella",Pizza Mozzarella,Pizza
81884,Pasta Roma,"mit Schinken, Champignons, Tomaten, Sahne und Ei",Pasta Roma,Pasta
32133,Tagliatelle Del Chef,"mit Putenfilet, frischen Champignons und Knoblauch in Sahnesauce",Tagliatelle alle Chef,Pasta
82031,Pizza Mozzarella,"mit Mozzarella, Tomaten und Peperoni",Pizza Mozzarella,Pizza
13668,Pizza Spinat und Ei,,Pizza Spinaci,Pizza
629352,Spaghetti al Forno,"mit Bolognese, Schinken, Sahne und Käse überbacken",Spaghetti al Forno,Pasta
410323,Pizza California,"mit Serrano-Schinken, Rucola, Kirschtomaten, Parmesan und echtem Gouda",Pizza California,Pizza
520874,Pizza Broccoli,,Pizza Broccoli,Pizza
337741,Pizza Vegetarisch,"mit Broccoli, Spinat, Artischocken, frischen Pilzen, frischen Tomaten und Schafskäse",Pizza Vegetaria,Pizza
540726,Pizza Capricciosa,"mit Salami, Vorderschinken, Peperoni, Champignons und Artischocken",Pizza Capricciosa,Pizza
127633,Spaghetti al Forno,in Fleischsauce mit Käse überbacken,Spaghetti al Forno,Pasta
745066,Maccheroni Napoli,mit leckerer Tomatensauce,Maccheroni Napoli,Pasta
385260,Kawatini,4 Sorten Nudeln mit Bolognesesauce,Kawatini,Pasta
649750,Pizza Mozzarella,mit Tomaten und Mozzarella,Pizza Mozzarella,Pizza
695420,PIzza Calzone,"mit Salami, Paprika, Schinken, Champignons und extra Käse",Pizza Calzone,Pizza
173765,"Pizza mit Tomaten, Käse und Schinken",,Pizza Schinken Tomate,Pizza
555448,Pizza Broccoli,mit Broccoli,Pizza Broccoli,Pizza
124083,Pizza Schinken,mit Schinken,Pizza Prosciutto,Pizza
408945,Pasta Napoli,mit hausgemachter Tomatensauce,Spaghetti Napoli,Pasta
154708,Pizza Gamberetti,mit Krabben und Knoblauch,Pizza Gamberetti,Pizza
176187,Tagliatelle Broccoli,"mit Broccoli, Tomaten und Sahnesauce",Tagliatelle Broccoli,Pasta
112208,Party Pizza Hawaii,mit Hinterschinken und Ananaswürfel,Pizza Hawaii,Pizza
151062,Spaghetti Bolognese,mit Fleischsauce (nach Hausrezept vom Rind),Spaghetti Bolognese,Pasta
33183,Pizza Spinaci,"mit Spinat, Formfleischvorderschinken und Knoblauch",Pizza Spinaci,Pizza
392211,Pizza Tonno Zwiebel,mit Thunfisch und Zwiebeln,Pizza Tonno,Pizza
522400,Pizza Casa,"mit Allem, außer Fisch",Pizza Casa,Pizza
508187,Pizza Prosciutto,mit Schinken,Pizza Prosciutto,Pizza
513161,Pizza Melanzane,"mit Sucuk (Rinderknoblauchwurst), Auberginen und Broccoli",Pizza Melanzane,Pizza
76458,Pizza Gorgonzola,mit Gorgonzolakäse,Pizza Gorgonzola,Pizza
730025,Pizza Napoli,"mit Oliven, Sardellen und Knoblauch",Pizza Napoli,Pizza
483852,Tortellini alla Tomaten,mit Tomatensauce,Tortellini Pomodoro,Pasta
700103,Pizza Funghi,"mit Tomatensauce,  italienischem Mozzarella und Champignons",Pizza Funghi,Pizza
173739,Pizza Diavolo,"mit Vorderschinken, Salami, Pilzen und scharfen Peperoni",Pizza Diavolo,Pizza
479010,Maccheroni Carbonara,"mit Schinken, Sahne und Ei",Maccheroni Carbonara,Pasta
635738,Pizza Quattro Formaggi,"mit je ¼ Pizza Weißkäse, Mozzarella, Gouda und Gorgonzola",Pizza Quattro Formaggi,Pizza
539000,Pizza Cipolla,mit Zwiebeln,Pizza Cipolla,Pizza
473672,Maccheroni Italia,"mit Champignons, Zwiebeln, Spinat, Krabben und Tomatensauce",Maccheroni Italia,Pasta
468017,Pizza Quattro Stagioni,"mit Tomatensauce, Käse, Champignons, Salami, Zwiebeln, Paprika und Spargel",Pizza Quattro Stagioni,Pizza
328096,Rigatoni Gorgonzola,Maccheroni mit Gorgonzolasauce,Rigatoni Gorgonzola,Pasta
535398,Pizza Quattro Stagioni,"mit Paprika, Thunfisch, Pilzen und Artischocken",Pizza Quattro Stagioni,Pizza
154544,Pizza Pane mit Remoulade,Pizzabrot,Pizza Pane,Pizza
4062,Spaghetti Bolognese,,Spaghetti Bolognese,Pasta
65950,"Spaghetti Aglio, Olio e Peperonicini","mit Öl und Knoblauch, pikant",Spaghetti Aglio e Olio,Pasta
86705,Spaghetti Bolognese,mit Tomaten und Rinderhack,Spaghetti Bolognese,Pasta
24246,Spaghetti Aglio,mit Olio e Peperoncino,Spaghetti Aglio e Olio,Pasta
727571,Pizza Margherita,mit feiner Tomatensoße und Edamer? ? ?,Pizza Margherita,Pizza
602947,Pizza Milano,"mit Vorderschinken, Champignons, Peperoni, Artischocken und Zwiebeln",Pizza Milano,Pizza
48341,Tagliatelle Bolognese,Bandnudeln mit Bolognesesauce,Tagliatelle Bolognese,Pasta
710682,Pizza Mexikaner,"mit Bohnen, Mais, Zwiebeln, Jalapenos und Dönerfleisch",Pizza Mexikaner,Pizza
140081,Partypizza mit Thunfisch und Paprika,,Pizza Tonno,Pizza
1850,Pizza Gorgonzola,mit Gorgonzola und Spinat,Pizza Gorgonzola,Pizza
531883,Pizza Margherita,doppelt Käse,Pizza Margherita,Pizza
77521,Wunschpizza,"Grundpizza mit Tomatensauce und Käse, weitere Zutaten gegen Aufpreis",Wunschpizza,Pizza
55312,Tagliatelle della Casa,"mit Schinken, Erbsen, Pilzen, Sahne und Käse überbacken",Tagliatelle Della Casa,Pasta
640010,Pizza Capricciosa,"mit Tomaten, Käse, Schinken, Artischocken und Zwiebeln",Pizza Capricciosa,Pizza
337302,Pizza Sucuk,,Pizza Sucuk,Pizza
204246,Kawatini,mit verschiedenen Nudelsorten,Kawatini,Pasta
